day	hour	value
27	40	70.0
28	1	-1.0
28	2	-1.0
28	3	-1.0
28	4	-1.0
28	5	-1.0
28	6	-1.0
28	7	10.0
28	8	113.0
28	9	43.0
28	10	26.0
28	11	15.0
28	12	44.0
28	13	130.0
28	14	82.0
28	15	3.0
28	16	7.0
28	17	7.0
28	18	7.0
28	19	35.0
28	20	156.0
28	21	9.0
28	22	31.0
28	23	46.0
28	24	84.0
28	25	79.0
28	26	316.0
28	27	79.0
28	28	51.0
28	29	13.0
28	30	9.0
28	31	56.0
28	32	178.0
28	33	1.0
28	34	17.0
28	35	25.0
28	36	17.0
28	37	63.0
28	38	40.0
28	39	20.0
28	40	18.0
29	1	-1.0
29	2	-1.0
29	3	-1.0
29	4	-1.0
29	5	-1.0
29	6	-1.0
29	7	-1.0
29	8	146.0
29	9	57.0
29	10	78.0
29	11	14.0
29	12	163.0
29	13	15.0
29	14	140.0
29	15	8.0
29	16	46.0
29	17	0.0
29	18	80.0
29	19	12.0
29	20	13.0
29	21	3.0
29	22	7.0
29	23	147.0
29	24	35.0
29	25	4.0
29	26	105.0
29	27	274.0
29	28	46.0
29	29	16.0
29	30	20.0
29	31	30.0
29	32	35.0
29	33	33.0
29	34	116.0
29	35	17.0
29	36	17.0
29	37	309.0
29	38	262.0
29	39	270.0
29	40	74.0
30	1	-1.0
30	2	-1.0
30	3	-1.0
30	4	-1.0
30	5	-1.0
30	6	-1.0
30	7	-1.0
30	8	0.0
30	9	64.0
30	10	172.0
30	11	25.0
30	12	41.0
30	13	136.0
30	14	14.0
30	15	14.0
30	16	1.0
30	17	2.0
30	18	2.0
30	19	5.0
30	20	8.0
30	21	18.0
30	22	107.0
30	23	154.0
30	24	26.0
30	25	45.0
30	26	101.0
30	27	612.0
30	28	58.0
30	29	37.0
30	30	154.0
30	31	31.0
30	32	191.0
30	33	8.0
30	34	82.0
30	35	51.0
30	36	24.0
30	37	240.0
30	38	129.0
30	39	20.0
30	40	28.0
31	1	-1.0
31	2	-1.0
31	3	-1.0
31	4	-1.0
31	5	-1.0
31	6	-1.0
31	7	-1.0
31	8	-1.0
31	9	11.0
31	10	203.0
31	11	28.0
31	12	227.0
31	13	46.0
31	14	140.0
31	15	5.0
31	16	73.0
31	17	4.0
31	18	156.0
31	19	4.0
31	20	83.0
31	21	8.0
31	22	34.0
31	23	106.0
31	24	89.0
31	25	440.0
31	26	824.0
31	27	503.0
31	28	97.0
31	29	91.0
31	30	141.0
31	31	19.0
31	32	48.0
31	33	2.0
31	34	2.0
31	35	108.0
31	36	2.0
31	37	66.0
31	38	42.0
31	39	93.0
31	40	0.0
32	1	-1.0
32	2	-1.0
32	3	-1.0
32	4	-1.0
32	5	-1.0
32	6	-1.0
32	7	-1.0
32	8	-1.0
32	9	-1.0
32	10	2.0
32	11	21.0
32	12	25.0
32	13	58.0
32	14	93.0
32	15	60.0
32	16	64.0
32	17	89.0
32	18	8.0
32	19	4.0
32	20	1.0
32	21	2.0
32	22	22.0
32	23	78.0
32	24	135.0
32	25	280.0
32	26	145.0
32	27	46.0
32	28	237.0
32	29	264.0
32	30	100.0
32	31	248.0
32	32	94.0
32	33	22.0
32	34	15.0
32	35	53.0
32	36	28.0
32	37	159.0
32	38	12.0
32	39	15.0
32	40	0.0
33	1	-1.0
33	2	-1.0
33	3	-1.0
33	4	-1.0
33	5	-1.0
33	6	-1.0
33	7	-1.0
33	8	-1.0
33	9	-1.0
33	10	314.0
33	11	0.0
33	12	-1.0
33	13	-1.0
33	14	293.0
33	15	134.0
33	16	465.0
33	17	75.0
33	18	135.0
33	19	63.0
33	20	54.0
33	21	6.0
33	22	55.0
33	23	110.0
33	24	84.0
33	25	244.0
33	26	173.0
33	27	354.0
33	28	614.0
33	29	878.0
33	30	105.0
33	31	252.0
33	32	351.0
33	33	75.0
33	34	169.0
33	35	16.0
33	36	42.0
33	37	7.0
33	38	15.0
33	39	17.0
33	40	193.0
34	1	-1.0
34	2	-1.0
34	3	-1.0
34	4	-1.0
34	5	-1.0
34	6	-1.0
34	7	-1.0
34	8	-1.0
34	9	-1.0
34	10	-1.0
34	11	68.0
34	12	1.0
34	13	1.0
34	14	98.0
34	15	1.0
34	16	19.0
34	17	146.0
34	18	14.0
34	19	9.0
34	20	34.0
34	21	11.0
34	22	186.0
34	23	38.0
34	24	26.0
34	25	88.0
34	26	524.0
34	27	596.0
34	28	324.0
34	29	311.0
34	30	45.0
34	31	180.0
34	32	250.0
34	33	60.0
34	34	83.0
34	35	33.0
34	36	160.0
34	37	120.0
34	38	12.0
34	39	88.0
34	40	3.0
35	1	-1.0
35	2	-1.0
35	3	-1.0
35	4	-1.0
35	5	-1.0
35	6	-1.0
35	7	-1.0
35	8	-1.0
35	9	-1.0
35	10	-1.0
35	11	-1.0
35	12	-1.0
35	13	19.0
35	14	0.0
35	15	-1.0
35	16	338.0
35	17	61.0
35	18	212.0
35	19	25.0
35	20	59.0
35	21	77.0
35	22	94.0
35	23	119.0
35	24	32.0
35	25	104.0
35	26	168.0
35	27	115.0
35	28	224.0
35	29	407.0
35	30	308.0
35	31	795.0
35	32	93.0
35	33	57.0
35	34	429.0
35	35	70.0
35	36	11.0
35	37	106.0
35	38	30.0
35	39	256.0
35	40	22.0
36	1	-1.0
36	2	-1.0
36	3	-1.0
36	4	-1.0
36	5	-1.0
36	6	-1.0
36	7	-1.0
36	8	-1.0
36	9	-1.0
36	10	-1.0
36	11	-1.0
36	12	-1.0
36	13	-1.0
36	14	-1.0
36	15	-1.0
36	16	8.0
36	17	43.0
36	18	33.0
36	19	40.0
36	20	5.0
36	21	29.0
36	22	82.0
36	23	70.0
36	24	145.0
36	25	289.0
36	26	23.0
36	27	376.0
36	28	872.0
36	29	2335.0
36	30	498.0
36	31	204.0
36	32	346.0
36	33	16.0
36	34	9.0
36	35	131.0
36	36	4.0
36	37	379.0
36	38	11.0
36	39	7.0
36	40	14.0
37	1	-1.0
37	2	-1.0
37	3	-1.0
37	4	-1.0
37	5	-1.0
37	6	-1.0
37	7	-1.0
37	8	-1.0
37	9	-1.0
37	10	-1.0
37	11	-1.0
37	12	-1.0
37	13	-1.0
37	14	-1.0
37	15	-1.0
37	16	-1.0
37	17	54.0
37	18	22.0
37	19	19.0
37	20	0.0
37	21	15.0
37	22	21.0
37	23	95.0
37	24	175.0
37	25	56.0
37	26	15.0
37	27	405.0
37	28	392.0
37	29	1574.0
37	30	1222.0
37	31	456.0
37	32	560.0
37	33	315.0
37	34	47.0
37	35	6.0
37	36	2.0
37	37	4.0
37	38	80.0
37	39	1.0
37	40	0.0
38	1	-1.0
38	2	-1.0
38	3	-1.0
38	4	-1.0
38	5	-1.0
38	6	-1.0
38	7	-1.0
38	8	-1.0
38	9	-1.0
38	10	-1.0
38	11	-1.0
38	12	-1.0
38	13	-1.0
38	14	-1.0
38	15	-1.0
38	16	-1.0
38	17	0.0
38	18	42.0
38	19	71.0
38	20	48.0
38	21	0.0
38	22	-1.0
38	23	22.0
38	24	5.0
38	25	0.0
38	26	1.0
38	27	7.0
38	28	328.0
38	29	651.0
38	30	1089.0
38	31	196.0
38	32	266.0
38	33	61.0
38	34	19.0
38	35	2.0
38	36	4.0
38	37	4.0
38	38	8.0
38	39	3.0
38	40	85.0
39	1	-1.0
39	2	-1.0
39	3	-1.0
39	4	-1.0
39	5	-1.0
39	6	-1.0
39	7	-1.0
39	8	-1.0
39	9	-1.0
39	10	-1.0
39	11	-1.0
39	12	-1.0
39	13	-1.0
39	14	-1.0
39	15	-1.0
39	16	-1.0
39	17	-1.0
39	18	15.0
39	19	34.0
39	20	37.0
39	21	0.0
39	22	-1.0
39	23	-1.0
39	24	2.0
39	25	2.0
39	26	6.0
39	27	1.0
39	28	0.0
39	29	71.0
39	30	29.0
39	31	89.0
39	32	9.0
39	33	2.0
39	34	15.0
39	35	0.0
39	36	0.0
39	37	5.0
39	38	0.0
39	39	2.0
39	40	0.0
40	1	-1.0
40	2	-1.0
40	3	-1.0
40	4	-1.0
40	5	-1.0
40	6	-1.0
40	7	-1.0
40	8	-1.0
40	9	-1.0
40	10	-1.0
40	11	-1.0
40	12	-1.0
40	13	-1.0
40	14	-1.0
40	15	-1.0
40	16	-1.0
40	17	-1.0
40	18	19.0
40	19	14.0
40	20	13.0
40	21	1.0
40	22	0.0
40	23	-1.0
40	24	-1.0
40	25	5.0
40	26	23.0
40	27	0.0
40	28	50.0
40	29	80.0
40	30	9.0
40	31	5.0
40	32	4.0
40	33	5.0
40	34	30.0
40	35	11.0
40	36	0.0
40	37	2.0
40	38	1.0
40	39	0.0
40	40	1.0
